Kind,Name,File,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic
Public Function,"AstarSearch::publishPoseArray",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\computing\planning\mission\packages\freespace_planner\nodes\astar_navi\astar_search.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,2,8,1,0,1,0,0,0,5,0,0,0,0,1,,,0,,0.13,
Public Function,"AstarSearch::reset",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\computing\planning\mission\packages\freespace_planner\nodes\astar_navi\astar_search.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,1,6,1,0,2,0,0,0,3,0,0,0,0,1,,,0,,0.33,
Private Function,"AstarSearch::resizeNode",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\computing\planning\mission\packages\freespace_planner\nodes\astar_navi\astar_search.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,2,9,4,0,0,0,0,0,9,3,3,0,0,1,,,0,,0.00,
Private Function,"AstarSearch::search",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\computing\planning\mission\packages\freespace_planner\nodes\astar_navi\astar_search.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,130,21,83,12,10,18,7,2,2,61,19,11,0,11,3,,,2,,0.22,
Private Function,"AstarSearch::setGoalNode",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\computing\planning\mission\packages\freespace_planner\nodes\astar_navi\astar_search.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,4,18,6,9,3,0,0,5,10,12,5,0,9,4,,,2,,0.17,
Public Function,"AstarSearch::setMap",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\computing\planning\mission\packages\freespace_planner\nodes\astar_navi\astar_search.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,53,7,40,12,14,7,0,0,3,24,25,11,0,14,7,,,4,,0.17,
Private Function,"AstarSearch::setPath",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\computing\planning\mission\packages\freespace_planner\nodes\astar_navi\astar_search.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,44,7,21,5,3,16,0,0,0,16,7,4,0,3,2,,,1,,0.76,
Private Function,"AstarSearch::setStartNode",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\computing\planning\mission\packages\freespace_planner\nodes\astar_navi\astar_search.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,29,3,22,6,8,4,0,0,8,17,12,5,0,8,2,,,1,,0.18,
Public Function,"AstarSearch::~AstarSearch",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\computing\planning\mission\packages\freespace_planner\nodes\astar_navi\astar_search.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,0,0,0,0,2,0,0,0,0,0,1,,,0,,0.00,
Function,"BilinearKernelTex32F",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\computing\perception\detection\lib\image\dpm_ocv\gpu\gpu_function.cu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,45,6,39,28,21,0,0,0,2,19,20,18,0,2,2,,,1,,0.00,
Struct,"BoxClass",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\util\packages\sample_data\nodes\sample_vector_map\sample_vector_map.cpp,0,0,0,0,0,,,,,0,0,0,,0,0,,,,,0,6,0,0,6,0,0,0,0,0,0,0,,8,0,8,1,0,0,0,0,,,6,6,0,0,,0,0,0,0,0.00,0
Struct,"BoxClass",D:\download\autoware-1.0.0\autoware-1.0.0\ui\oculus\ofw\src\vector_map.h,0,0,0,0,0,,,,,0,0,0,,0,0,,,,,3,6,0,0,6,0,0,0,0,0,0,0,,8,0,8,1,0,0,0,0,,,6,6,0,0,,0,0,0,0,0.00,0
Struct,"CAMERAPARAMETERS",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\util\packages\RobotSDK\glviewer\include\glviewer\glviewer.h,0,0,0,0,0,,,,,0,0,0,,0,0,,,,,0,13,0,0,13,0,0,0,0,0,0,0,,13,0,13,1,0,0,0,0,,,13,13,0,0,,0,0,0,0,0.00,0
Function,"CANSenderEntry",D:\download\autoware-1.0.0\autoware-1.0.0\vehicle\zmp\autoware_socket\can.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,76,14,59,10,37,4,0,0,7,33,43,11,0,32,10,,,3,,0.07,
Class,"CalibrateCameraBase",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\sensing\fusion\packages\calibration_camera_lidar\CalibrationToolkit\calibrationtoolkit.h,12,1,12,0,1,,,,,1,0,1,,0,0,,,,,17,18,0,0,18,11,34,0,0,0,1,10,,163,9,154,17,11,0,0,0,,,42,32,0,10,,3,1,1,100,0.00,14
Public Function,"CalibrateCameraBase::CalibrateCameraBase",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\sensing\fusion\packages\calibration_camera_lidar\CalibrationToolkit\calibrationtoolkit.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,45,8,37,3,1,0,0,0,1,32,4,2,0,2,2,,,1,,0.00,
Public Function,"CalibrateCameraBase::getCameraExtrinsicMat",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\sensing\fusion\packages\calibration_camera_lidar\CalibrationToolkit\calibrationtoolkit.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,0,0,0,0,1,1,0,0,0,0,1,,,0,,0.00,
Public Function,"CalibrateCameraBase::getCameraMat",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\sensing\fusion\packages\calibration_camera_lidar\CalibrationToolkit\calibrationtoolkit.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,0,0,0,0,1,1,0,0,0,0,1,,,0,,0.00,
Public Function,"CalibrateCameraBase::getDistCoeff",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\sensing\fusion\packages\calibration_camera_lidar\CalibrationToolkit\calibrationtoolkit.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,0,0,0,0,1,1,0,0,0,0,1,,,0,,0.00,
Public Function,"CalibrateCameraBase::getImageSize",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\sensing\fusion\packages\calibration_camera_lidar\CalibrationToolkit\calibrationtoolkit.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,0,0,0,0,1,1,0,0,0,0,1,,,0,,0.00,
Public Function,"CalibrateCameraBase::loadCalibResult",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\sensing\fusion\packages\calibration_camera_lidar\CalibrationToolkit\calibrationtoolkit.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,0,12,1,1,0,0,0,1,9,1,0,0,1,1,,,0,,0.00,
Protected Virtual Function,"CalibrateCameraBase::refreshImage",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\sensing\fusion\packages\calibration_camera_lidar\CalibrationToolkit\calibrationtoolkit.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26,0,26,3,6,0,0,0,1,14,7,2,0,5,3,,,1,,0.00,
Public Function,"CalibrateCameraBase::refreshImageSlot",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\sensing\fusion\packages\calibration_camera_lidar\CalibrationToolkit\calibrationtoolkit.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,0,11,3,2,0,0,0,1,2,3,2,0,1,2,,,1,,0.00,
Public Function,"CalibrateCameraBase::refreshParametersSlot",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\sensing\fusion\packages\calibration_camera_lidar\CalibrationToolkit\calibrationtoolkit.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,0,6,1,0,0,0,0,0,3,0,0,0,0,1,,,0,,0.00,
Public Function,"CalibrateCameraBase::saveCalibResult",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\sensing\fusion\packages\calibration_camera_lidar\CalibrationToolkit\calibrationtoolkit.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,0,8,1,1,0,0,0,1,5,1,0,0,1,1,,,0,,0.00,
Class,"CalibrateCameraChessboardBase",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\sensing\fusion\packages\calibration_camera_lidar\CalibrationToolkit\calibrationtoolkit.h,22,2,20,0,3,,,,,1,0,3,,0,0,,,,,15,11,0,1,10,9,43,0,0,0,2,7,,230,19,211,34,31,0,0,0,,,88,50,0,38,,5,2,3,98,0.00,23
Public Function,"CalibrateCameraChessboardBase::CalibrateCameraChessboardBase",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\sensing\fusion\packages\calibration_camera_lidar\CalibrationToolkit\calibrationtoolkit.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,39,6,33,3,3,0,0,0,1,27,8,3,0,5,3,,,2,,0.00,
Protected Virtual Function,"CalibrateCameraChessboardBase::calibrateSensor",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\sensing\fusion\packages\calibration_camera_lidar\CalibrationToolkit\calibrationtoolkit.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,37,0,37,6,7,0,0,0,1,28,17,7,0,10,5,,,3,,0.00,
Public Function,"CalibrateCameraChessboardBase::getCalibImage",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\sensing\fusion\packages\calibration_camera_lidar\CalibrationToolkit\calibrationtoolkit.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,0,0,0,0,1,1,0,0,0,0,1,,,0,,0.00,
Public Function,"CalibrateCameraChessboardBase::getChessboardNum",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\sensing\fusion\packages\calibration_camera_lidar\CalibrationToolkit\calibrationtoolkit.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,0,0,0,0,1,1,0,0,0,0,1,,,0,,0.00,
Public Function,"CalibrateCameraChessboardBase::getChessboardPose",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\sensing\fusion\packages\calibration_camera_lidar\CalibrationToolkit\calibrationtoolkit.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,0,0,0,0,1,1,0,0,0,0,1,,,0,,0.00,
Public Function,"CalibrateCameraChessboardBase::getChessboardPoses",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\sensing\fusion\packages\calibration_camera_lidar\CalibrationToolkit\calibrationtoolkit.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,0,0,0,0,1,1,0,0,0,0,1,,,0,,0.00,
Public Function,"CalibrateCameraChessboardBase::loadCalibResult",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\sensing\fusion\packages\calibration_camera_lidar\CalibrationToolkit\calibrationtoolkit.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54,4,50,11,10,0,0,0,2,37,21,11,0,10,5,,,3,,0.00,
Protected Virtual Function,"CalibrateCameraChessboardBase::removeCalibData",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\sensing\fusion\packages\calibration_camera_lidar\CalibrationToolkit\calibrationtoolkit.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,3,25,5,6,0,0,0,1,18,12,5,0,7,3,,,1,,0.00,
Public Function,"CalibrateCameraChessboardBase::saveCalibResult",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\sensing\fusion\packages\calibration_camera_lidar\CalibrationToolkit\calibrationtoolkit.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,21,1,20,4,5,0,0,0,1,13,10,4,0,6,3,,,2,,0.00,
Class,"CalibrateCameraChessboardROS",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\sensing\fusion\packages\calibration_camera_lidar\CalibrationToolkit\calibrationtoolkit.h,21,1,20,0,3,,,,,1,0,0,,0,0,,,,,7,1,0,0,1,4,47,0,0,1,2,1,,95,4,91,17,17,0,0,0,,,34,16,2,16,,6,3,1,100,0.00,10
Public Function,"CalibrateCameraChessboardROS::CalibrateCameraChessboardROS",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\sensing\fusion\packages\calibration_camera_lidar\CalibrationToolkit\calibrationtoolkit.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,0,7,1,0,0,0,0,1,3,0,0,0,0,1,,,0,,0.00,
Protected Virtual Function,"CalibrateCameraChessboardROS::grabCalibData",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\sensing\fusion\packages\calibration_camera_lidar\CalibrationToolkit\calibrationtoolkit.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,56,2,54,11,14,0,0,0,1,37,25,10,2,13,6,,,1,,0.00,
Protected Virtual Function,"CalibrateCameraChessboardROS::refreshImage",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\sensing\fusion\packages\calibration_camera_lidar\CalibrationToolkit\calibrationtoolkit.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,2,14,3,3,0,0,0,1,8,5,2,0,3,2,,,1,,0.00,
Private Function,"CalibrateCameraChessboardROS::~CalibrateCameraChessboardROS",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\sensing\fusion\packages\calibration_camera_lidar\CalibrationToolkit\calibrationtoolkit.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,0,0,0,0,2,1,0,0,0,0,1,,,0,,0.00,
Class,"CalibrateCameraLidarChessboardBase",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\sensing\fusion\packages\calibration_camera_lidar\CalibrationToolkit\calibrationtoolkit.h,0,0,0,0,0,,,,,1,1,1,,0,0,,,,,10,15,0,3,12,7,50,0,0,0,3,4,,45,5,40,1,0,2,0,0,,,23,23,0,0,,0,3,0,100,0.05,0
Struct,"CalibrateCameraLidarChessboardBase::CameraLidarCalibrationData",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\sensing\fusion\packages\calibration_camera_lidar\CalibrationToolkit\calibrationtoolkit.h,0,0,0,0,0,,,,,0,0,0,,0,0,,,,,0,3,0,0,3,0,0,0,0,0,0,0,,6,0,6,1,0,2,0,0,,,3,3,0,0,,0,0,0,0,0.33,0
Class,"CalibrateCameraLidarChessboardROS",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\sensing\fusion\packages\calibration_camera_lidar\CalibrationToolkit\calibrationtoolkit.h,0,0,0,0,0,,,,,1,0,0,,0,0,,,,,5,2,0,0,2,4,54,0,0,1,3,0,,14,0,14,1,0,0,0,0,,,6,6,0,0,,0,4,0,100,0.00,0
Class,"CalibrateCameraVelodyneChessboardBase",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\sensing\fusion\packages\calibration_camera_lidar\CalibrationToolkit\calibrationtoolkit.h,145,18,127,1,4,,,,,1,3,1,,0,1,,,,,15,18,0,5,13,9,52,0,0,0,3,6,,1067,129,933,55,69,8,0,0,,,152,81,0,71,,9,3,2,96,0.01,28
Public Function,"CalibrateCameraVelodyneChessboardBase::CalibrateCameraVelodyneChessboardBase",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\sensing\fusion\packages\calibration_camera_lidar\CalibrationToolkit\calibrationtoolkit.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,38,9,29,1,6,0,0,0,7,25,6,0,0,6,1,,,0,,0.00,
Struct,"CalibrateCameraVelodyneChessboardBase::CameraVelodyneCalibrationData",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\sensing\fusion\packages\calibration_camera_lidar\CalibrationToolkit\calibrationtoolkit.h,0,0,0,0,0,,,,,0,0,0,,0,0,,,,,3,5,0,0,5,0,0,0,0,0,0,0,,8,0,8,1,0,3,0,0,,,5,5,0,0,,0,0,0,0,0.38,0
Protected Virtual Function,"CalibrateCameraVelodyneChessboardBase::calibrateSensor",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\sensing\fusion\packages\calibration_camera_lidar\CalibrationToolkit\calibrationtoolkit.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,135,15,119,16,25,1,0,0,2,123,43,17,0,26,9,,,2,,0.01,
Public Function,"CalibrateCameraVelodyneChessboardBase::loadCalibResult",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\sensing\fusion\packages\calibration_camera_lidar\CalibrationToolkit\calibrationtoolkit.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,709,84,621,8,8,4,0,0,1,490,15,9,0,6,4,,,2,,0.01,
Public Function,"CalibrateCameraVelodyneChessboardBase::projectPointsSlot",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\sensing\fusion\packages\calibration_camera_lidar\CalibrationToolkit\calibrationtoolkit.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,53,0,53,16,9,0,0,0,0,38,28,17,0,11,7,,,2,,0.00,
Protected Virtual Function,"CalibrateCameraVelodyneChessboardBase::refreshVelodyne",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\sensing\fusion\packages\calibration_camera_lidar\CalibrationToolkit\calibrationtoolkit.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,36,10,26,4,11,0,0,0,2,22,16,4,0,12,2,,,1,,0.00,
Public Function,"CalibrateCameraVelodyneChessboardBase::refreshVelodyneSlot",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\sensing\fusion\packages\calibration_camera_lidar\CalibrationToolkit\calibrationtoolkit.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,0,11,3,2,0,0,0,1,2,3,2,0,1,2,,,1,,0.00,
Protected Virtual Function,"CalibrateCameraVelodyneChessboardBase::removeCalibData",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\sensing\fusion\packages\calibration_camera_lidar\CalibrationToolkit\calibrationtoolkit.cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,34,6,28,6,8,0,0,0,3,21,15,6,0,9,3,,,1,,0.00,
Class,"CalibrateCameraVelodyneChessboardROS",D:\download\autoware-1.0.0\autoware-1.0.0\ros\src\sensing\fusion\packages\calibration_camera_lidar\CalibrationToolkit\calibrationtoolkit.h,0,0,0,0,0,,,,,1,0,0,,0,0,,,,,5,2,0,0,2,4,56,0,0,1,3,0,,14,0,14,1,0,0,0,0,,,6,6,0,0,,0,4,0,100,0.00,0
